k,t_wall(s),T(s),J(s)
280,10059.780318771,0.050008117,0.000008117
281,10059.830304090,0.049985319,-0.000014681
282,10059.880318434,0.050014344,0.000014344
283,10059.930306206,0.049987772,-0.000012228
284,10059.980328332,0.050022126,0.000022126
285,10060.030318004,0.049989672,-0.000010328
286,10060.080314055,0.049996051,-0.000003949
287,10060.130318344,0.050004289,0.000004289
288,10060.180307246,0.049988902,-0.000011098
289,10060.230304788,0.049997542,-0.000002458
290,10060.280317745,0.050012957,0.000012957
291,10060.330317428,0.049999683,-0.000000317
292,10060.380306217,0.049988789,-0.000011211
293,10060.430328244,0.050022027,0.000022027
294,10060.480327732,0.049999488,-0.000000512
295,10060.530314474,0.049986742,-0.000013258
296,10060.580314851,0.050000377,0.000000377
297,10060.630327692,0.050012841,0.000012841
298,10060.680325916,0.049998224,-0.000001776
299,10060.730264106,0.049938190,-0.000061810
300,10060.780327712,0.050063606,0.000063606
301,10060.830326866,0.049999154,-0.000000846
302,10060.880314716,0.049987850,-0.000012150
303,10060.930320226,0.050005510,0.000005510
304,10060.980324694,0.050004468,0.000004468
305,10061.030326220,0.050001526,0.000001526
306,10061.080316744,0.049990524,-0.000009476
307,10061.130305300,0.049988556,-0.000011444
308,10061.180316841,0.050011541,0.000011541
309,10061.230316740,0.049999899,-0.000000101
310,10061.280318092,0.050001352,0.000001352
311,10061.330307981,0.049989889,-0.000010111
312,10061.380305970,0.049997989,-0.000002011
313,10061.430305088,0.049999118,-0.000000882
314,10061.480307134,0.050002046,0.000002046
315,10061.530310261,0.050003127,0.000003127
316,10061.580305422,0.049995161,-0.000004839
317,10061.630304735,0.049999313,-0.000000687
318,10061.680305713,0.050000978,0.000000978
319,10061.730309882,0.050004169,0.000004169
320,10061.780304822,0.049994940,-0.000005060
321,10061.830304671,0.049999849,-0.000000151
322,10061.880309849,0.050005178,0.000005178
323,10061.930305179,0.049995330,-0.000004670
324,10061.980305307,0.050000128,0.000000128
325,10062.030310703,0.050005396,0.000005396
326,10062.080307727,0.049997024,-0.000002976
327,10062.130306702,0.049998975,-0.000001025
328,10062.180310059,0.050003357,0.000003357
329,10062.230316218,0.050006159,0.000006159
330,10062.280305110,0.049988892,-0.000011108
331,10062.330309551,0.050004441,0.000004441
332,10062.380306121,0.049996570,-0.000003430
333,10062.430304970,0.049998849,-0.000001151
334,10062.480303638,0.049998668,-0.000001332
335,10062.530317228,0.050013590,0.000013590
336,10062.580318511,0.050001283,0.000001283
337,10062.630312428,0.049993917,-0.000006083
338,10062.680316461,0.050004033,0.000004033
339,10062.730304830,0.049988369,-0.000011631
340,10062.780316226,0.050011396,0.000011396
341,10062.830321214,0.050004988,0.000004988
342,10062.880329599,0.050008385,0.000008385
343,10062.930326479,0.049996880,-0.000003120
344,10062.980328417,0.050001938,0.000001938
345,10063.030315702,0.049987285,-0.000012715
346,10063.080311309,0.049995607,-0.000004393
347,10063.130307827,0.049996518,-0.000003482
348,10063.180317761,0.050009934,0.000009934
349,10063.230326503,0.050008742,0.000008742
350,10063.280326790,0.050000287,0.000000287
351,10063.330323032,0.049996242,-0.000003758
352,10063.380308711,0.049985679,-0.000014321
353,10063.430321084,0.050012373,0.000012373
354,10063.480323250,0.050002166,0.000002166
355,10063.530321958,0.049998708,-0.000001292
356,10063.580314956,0.049992998,-0.000007002
357,10063.630321850,0.050006894,0.000006894
358,10063.680321461,0.049999611,-0.000000389
359,10063.730309194,0.049987733,-0.000012267
360,10063.780310510,0.050001316,0.000001316
361,10063.830307528,0.049997018,-0.000002982
362,10063.880322620,0.050015092,0.000015092
363,10063.930317007,0.049994387,-0.000005613
364,10063.980304345,0.049987338,-0.000012662
365,10064.030309439,0.050005094,0.000005094
366,10064.080269381,0.049959942,-0.000040058
367,10064.130317322,0.050047941,0.000047941
368,10064.180317252,0.049999930,-0.000000070
369,10064.230308809,0.049991557,-0.000008443
370,10064.280317983,0.050009174,0.000009174
371,10064.330307045,0.049989062,-0.000010938
372,10064.380302775,0.049995730,-0.000004270
373,10064.430316341,0.050013566,0.000013566
374,10064.480320623,0.050004282,0.000004282
375,10064.530310187,0.049989564,-0.000010436
376,10064.580304974,0.049994787,-0.000005213
377,10064.630305806,0.050000832,0.000000832
378,10064.680306611,0.050000805,0.000000805
379,10064.730320618,0.050014007,0.000014007
380,10064.780317167,0.049996549,-0.000003451
381,10064.830306506,0.049989339,-0.000010661
382,10064.880316393,0.050009887,0.000009887
383,10064.930318465,0.050002072,0.000002072
384,10064.980321369,0.050002904,0.000002904
385,10065.030324722,0.050003353,0.000003353
386,10065.080311854,0.049987132,-0.000012868
387,10065.130316286,0.050004432,0.000004432
388,10065.180318333,0.050002047,0.000002047
389,10065.230306852,0.049988519,-0.000011481
390,10065.280319010,0.050012158,0.000012158
391,10065.330299811,0.049980801,-0.000019199
392,10065.380307102,0.050007291,0.000007291
393,10065.430322235,0.050015133,0.000015133
