k,t_wall(s),T(s),J(s)
212,9972.808209066,0.050002942,0.000002942
213,9972.858166035,0.049956969,-0.000043031
214,9972.908210180,0.050044145,0.000044145
215,9972.958177962,0.049967782,-0.000032218
216,9973.008213849,0.050035887,0.000035887
217,9973.058210011,0.049996162,-0.000003838
218,9973.108162863,0.049952852,-0.000047148
219,9973.158209007,0.050046144,0.000046144
220,9973.208210056,0.050001049,0.000001049
221,9973.258208470,0.049998414,-0.000001586
222,9973.308208744,0.050000274,0.000000274
223,9973.358208675,0.049999931,-0.000000069
224,9973.408209709,0.050001034,0.000001034
225,9973.458162190,0.049952481,-0.000047519
226,9973.508211528,0.050049338,0.000049338
227,9973.558209340,0.049997812,-0.000002188
228,9973.608207881,0.049998541,-0.000001459
229,9973.658209402,0.050001521,0.000001521
230,9973.708209315,0.049999913,-0.000000087
231,9973.758206382,0.049997067,-0.000002933
232,9973.808209713,0.050003331,0.000003331
233,9973.858209701,0.049999988,-0.000000012
234,9973.908209734,0.050000033,0.000000033
235,9973.958169555,0.049959821,-0.000040179
236,9974.008169562,0.050000007,0.000000007
237,9974.058171241,0.050001679,0.000001679
238,9974.108215046,0.050043805,0.000043805
239,9974.158208711,0.049993665,-0.000006335
240,9974.208209697,0.050000986,0.000000986
241,9974.258210062,0.050000365,0.000000365
242,9974.308209588,0.049999526,-0.000000474
243,9974.358210119,0.050000531,0.000000531
244,9974.408211123,0.050001004,0.000001004
245,9974.458209111,0.049997988,-0.000002012
246,9974.508206680,0.049997569,-0.000002431
247,9974.558217483,0.050010803,0.000010803
248,9974.608209358,0.049991875,-0.000008125
249,9974.658175055,0.049965697,-0.000034303
250,9974.708209794,0.050034739,0.000034739
251,9974.758209878,0.050000084,0.000000084
252,9974.808211512,0.050001634,0.000001634
253,9974.858211902,0.050000390,0.000000390
254,9974.908209772,0.049997870,-0.000002130
255,9974.958210960,0.050001188,0.000001188
256,9975.008210450,0.049999490,-0.000000510
257,9975.058210162,0.049999712,-0.000000288
258,9975.108209049,0.049998887,-0.000001113
259,9975.158209523,0.050000474,0.000000474
260,9975.208210322,0.050000799,0.000000799
261,9975.258219574,0.050009252,0.000009252
262,9975.308206671,0.049987097,-0.000012903
263,9975.358169259,0.049962588,-0.000037412
264,9975.408209572,0.050040313,0.000040313
265,9975.458209343,0.049999771,-0.000000229
266,9975.508170060,0.049960717,-0.000039283
267,9975.558169659,0.049999599,-0.000000401
268,9975.608169427,0.049999768,-0.000000232
269,9975.658169950,0.050000523,0.000000523
270,9975.708169330,0.049999380,-0.000000620
271,9975.758216591,0.050047261,0.000047261
272,9975.808169595,0.049953004,-0.000046996
273,9975.858173079,0.050003484,0.000003484
274,9975.908169803,0.049996724,-0.000003276
275,9975.958169866,0.050000063,0.000000063
276,9976.008169818,0.049999952,-0.000000048
277,9976.058169791,0.049999973,-0.000000027
278,9976.108169293,0.049999502,-0.000000498
279,9976.158170032,0.050000739,0.000000739
280,9976.208169498,0.049999466,-0.000000534
281,9976.258169564,0.050000066,0.000000066
282,9976.308169411,0.049999847,-0.000000153
283,9976.358171839,0.050002428,0.000002428
284,9976.408170187,0.049998348,-0.000001652
285,9976.458171790,0.050001603,0.000001603
286,9976.508108570,0.049936780,-0.000063220
287,9976.558169877,0.050061307,0.000061307
288,9976.608169656,0.049999779,-0.000000221
289,9976.658169985,0.050000329,0.000000329
290,9976.708169981,0.049999996,-0.000000004
291,9976.758169693,0.049999712,-0.000000288
292,9976.808207738,0.050038045,0.000038045
293,9976.858205821,0.049998083,-0.000001917
294,9976.908169480,0.049963659,-0.000036341
295,9976.958169561,0.050000081,0.000000081
296,9977.008209424,0.050039863,0.000039863
297,9977.058208197,0.049998773,-0.000001227
298,9977.108207916,0.049999719,-0.000000281
299,9977.158168023,0.049960107,-0.000039893
300,9977.208209016,0.050040993,0.000040993
301,9977.258210035,0.050001019,0.000001019
302,9977.308207716,0.049997681,-0.000002319
303,9977.358169446,0.049961730,-0.000038270
304,9977.408169912,0.050000466,0.000000466
305,9977.458203808,0.050033896,0.000033896
306,9977.508208996,0.050005188,0.000005188
307,9977.558169712,0.049960716,-0.000039284
308,9977.608208956,0.050039244,0.000039244
309,9977.658230847,0.050021891,0.000021891
310,9977.708169846,0.049938999,-0.000061001
311,9977.758169682,0.049999836,-0.000000164
312,9977.808209592,0.050039910,0.000039910
313,9977.858210556,0.050000964,0.000000964
314,9977.908162649,0.049952093,-0.000047907
315,9977.958167911,0.050005262,0.000005262
316,9978.008169533,0.050001622,0.000001622
317,9978.058208566,0.050039033,0.000039033
318,9978.108208799,0.050000233,0.000000233
319,9978.158166631,0.049957832,-0.000042168
320,9978.208209189,0.050042558,0.000042558
321,9978.258171466,0.049962277,-0.000037723
322,9978.308210506,0.050039040,0.000039040
323,9978.358169788,0.049959282,-0.000040718
324,9978.408209732,0.050039944,0.000039944
325,9978.458159000,0.049949268,-0.000050732
326,9978.508209370,0.050050370,0.000050370
327,9978.558206637,0.049997267,-0.000002733
328,9978.608208877,0.050002240,0.000002240
329,9978.658210138,0.050001261,0.000001261
330,9978.708209350,0.049999212,-0.000000788
331,9978.758228050,0.050018700,0.000018700
332,9978.808209513,0.049981463,-0.000018537
333,9978.858176971,0.049967458,-0.000032542
334,9978.908169792,0.049992821,-0.000007179
335,9978.958207043,0.050037251,0.000037251
336,9979.008209399,0.050002356,0.000002356
337,9979.058210211,0.050000812,0.000000812
338,9979.108209078,0.049998867,-0.000001133
339,9979.158206608,0.049997530,-0.000002470
340,9979.208207587,0.050000979,0.000000979
341,9979.258170454,0.049962867,-0.000037133
342,9979.308210889,0.050040435,0.000040435
343,9979.358207263,0.049996374,-0.000003626
344,9979.408209275,0.050002012,0.000002012
345,9979.458171698,0.049962423,-0.000037577
346,9979.508211129,0.050039431,0.000039431
347,9979.558209713,0.049998584,-0.000001416
348,9979.608210532,0.050000819,0.000000819
349,9979.658210013,0.049999481,-0.000000519
350,9979.708209113,0.049999100,-0.000000900
351,9979.758210418,0.050001305,0.000001305
352,9979.808210350,0.049999932,-0.000000068
353,9979.858209148,0.049998798,-0.000001202
354,9979.908208081,0.049998933,-0.000001067
355,9979.958167477,0.049959396,-0.000040604
356,9980.008211188,0.050043711,0.000043711
